Downloaded from wid.world on 19-11-2024 at 11:58:47
Percentile ;Year ;"shweal_z_BR
Net personal wealth
Top 1% | share | adults | equal split
Brazil"
p99p100;1995;0.4163
p99p100;1996;0.4175
p99p100;1997;0.411
p99p100;1998;0.4128
p99p100;1999;0.4118
p99p100;2000;0.4167
p99p100;2001;0.4115
p99p100;2002;0.3983
p99p100;2003;0.4127
p99p100;2004;0.436
p99p100;2005;0.4505
p99p100;2006;0.4326
p99p100;2007;0.4228
p99p100;2008;0.4419
p99p100;2009;0.4595
p99p100;2010;0.4557
p99p100;2011;0.4667
p99p100;2012;0.4698
p99p100;2013;0.4425
p99p100;2014;0.4611
p99p100;2015;0.4484
p99p100;2016;0.4305
p99p100;2017;0.4573
p99p100;2018;0.4823
p99p100;2019;0.4816
p99p100;2020;0.4731
p99p100;2021;0.4861
p99p100;2022;0.4868
