Downloaded from wid.world on 26-11-2024 at 21:51:58
Percentile ;Year ;"shweal_z_BR
Net personal wealth
Top 10% | share | adults | equal split
Brazil"
p90p100;1995;0.7391000000000001
p90p100;1996;0.7396
p90p100;1997;0.7368
p90p100;1998;0.7374
p90p100;1999;0.737
p90p100;2000;0.7392000000000001
p90p100;2001;0.737
p90p100;2002;0.7241000000000001
p90p100;2003;0.7401
p90p100;2004;0.7627
p90p100;2005;0.7762
p90p100;2006;0.7541
p90p100;2007;0.7428
p90p100;2008;0.7596
p90p100;2009;0.7837000000000001
p90p100;2010;0.7737
p90p100;2011;0.7822
p90p100;2012;0.7853
p90p100;2013;0.7541
p90p100;2014;0.7734000000000001
p90p100;2015;0.7613000000000001
p90p100;2016;0.7472000000000001
p90p100;2017;0.7701
p90p100;2018;0.7945
p90p100;2019;0.7943
p90p100;2020;0.7914
p90p100;2021;0.7964
p90p100;2022;0.7974
